county,fips,year,population,total_cases,poor_or_fair_health_raw_value,mean_temp_f,mean_humidity_percent,unemployment_raw_value,gdp,children_in_poverty_raw_value,uninsured_raw_value
ALBANY,36001,2012,298284,521,-0.9469558986243675,0.8246372441380212,-0.8042490726864842,0.37980607455837806,0.011943524512003019,-0.37472016219607696,0.2519153900015081
ALBANY,36001,2013,303565,567,-0.7152501580683092,-0.26101802933251644,-0.23393817527440688,0.27515221800427164,0.0195032065278704,-0.12356373148447057,0.5297340763184041
ALBANY,36001,2015,306945,713,-0.6821493379888722,-0.9083612267089786,-1.110277519911968,-0.11448782053264901,0.0358837352945332,-0.5923890688128021,0.33656840137376154
ALBANY,36001,2016,308171,701,-0.9138550785449305,0.5245964298106391,-1.8489017325967538,-0.8241321162458612,0.04284916395606049,-0.19053877967423227,0.12459324996135368
ALBANY,36001,2017,309381,1708,-0.8789506278801851,0.11173013036628726,-0.4274156943583312,-1.078430888575184,0.044193625851923685,-0.5421577826704808,-0.352554787414189
ALBANY,36001,2018,308846,1352,-0.49031926166036993,-0.32956941472205553,-0.5127734202478794,-1.2716259526456215,0.04473828332036715,-0.6761078790500041,-0.9360067835027879
ALBANY,36001,2019,309612,1719,-0.49031926166036993,-0.6103963981991001,0.02213500700354565,-1.1579087947812088,0.05675750391373276,-1.077958168188574,-1.2711064290781824
ALBANY,36001,2020,307117,34,-0.24896836913374232,-0.08013999927422655,-1.1839510366065658,-1.4624734109404516,0.05351169192141739,-0.7263391651923254,-1.2603634119938798
ALBANY,36001,2021,305506,782,-0.48451814764661,0.07083299575262585,-1.0135387626746666,-1.4783668729410613,0.07967660344911325,-0.6091328308602425,-1.3321370176265455
ALBANY,36001,2022,303654,3450,-0.08633457655900886,0.056226878125676394,-0.9471494146825167,0.3703362348769024,0.08316242620175841,-1.195164502520657,-1.3753189594600217
ALLEGANY,36003,2012,49157,123,0.37707690455310783,0.5922850177238007,0.7580072498247785,1.5309984966535564,-0.2799150077987243,0.5629305124605865,0.9310277343316988
ALLEGANY,36003,2013,48778,160,-0.18563703679731958,-0.5708625026328077,1.2987072566417983,1.1647099987141813,-0.27984041635542983,0.7973431811247519,1.1471089348003956
ALLEGANY,36003,2015,48109,87,0.44327854471198164,-1.2357330437907112,0.9307206055899834,0.5736791491038875,-0.27921186354177163,0.998268325694037,0.6930334429835389
ALLEGANY,36003,2016,47736,211,-0.4835444175122508,0.20884565647299674,0.1780644555855963,-0.14868155299612884,-0.27950333951387185,1.148962184121001,0.7743067375598844
ALLEGANY,36003,2017,47462,205,-0.4127893623416102,0.05934284971082048,1.2797388741350788,-0.3685693366884587,-0.27674577407606066,0.998268325694037,5.924539242375338e-4
ALLEGANY,36003,2018,47077,364,-0.017347545421516265,-0.6972541196090883,0.750520957948216,-0.11859599197360235,-0.2771287188336299,1.0317558497889179,-0.7188712086426554
ALLEGANY,36003,2019,46894,492,-0.017347545421516265,-0.7776851471599386,1.6591065519253327,0.1195258529192485,-0.2766326211104559,0.8978057534093945,-0.8945958030589871
ALLEGANY,36003,2020,46430,14,-0.18024413202702533,-0.40985518178947705,1.1792686256183573,-0.4407971795355271,-0.2787027019012055,0.5294429883657056,-0.81189163729438385
ALLEGANY,36003,2021,46091,202,0.8421663225064451,-0.30016242877930305,0.7315525708321823,-0.5319706670153708,-0.27914367053389655,1.1991934702633222,-0.8565263486023486
ALLEGANY,36003,2022,45587,692,1.1383957663801556,-0.22868981986437364,0.5779086614654081,0.8340427327724554,-0.27960223219352526,0.2280552715117779,-0.9080640794598408
