county,fips,year,population,total_cases,poor_or_fair_health_raw_value,mean_temp_f,mean_humidity_percent,unemployment_raw_value,gdp,children_in_poverty_raw_value,uninsured_raw_value
ALBANY,36001,2012,298284,521,0.121,41.96122951,70.66393443,0.072,28723744,0.174,0.093
ALBANY,36001,2013,303565,567,0.128,37.83185185,71.90123457,0.07,29431456,0.189,0.102
ALBANY,36001,2015,306945,713,0.129,35.36962963,70,0.0625537376,30964946,0.161,0.0957423537
ALBANY,36001,2016,308171,701,0.122,40.82,68.39754098,0.0489919957,31617026,0.185,0.0888753701
ALBANY,36001,2017,309381,1708,0.123054489,39.24962963,71.48148148,0.0441321887,31742890,0.164,0.0734180501
ALBANY,36001,2018,308846,1352,0.134795327,37.57111111,71.2962963,0.0404401114,31793879,0.156,0.054516989
ALBANY,36001,2019,309612,1719,0.134795327,36.50296296,72.45679012,0.0426133167,32919078,0.132,0.0436613592
ALBANY,36001,2020,307117,34,0.1420867141,38.51983607,69.84016393,0.0367928983,32615216,0.153,0.0440093817
ALBANY,36001,2021,305506,782,0.1349705829,39.09407407,70.20987654,0.0364891644,35064687,0.16,0.0416842593
ALBANY,36001,2022,303654,3450,0.147,39.03851852,70.35390947,0.0718190255,35391018,0.125,0.0402853704
ALLEGANY,36003,2012,49157,123,0.161,41.07745902,74.05327869,0.094,1400930,0.23,0.115
ALLEGANY,36003,2013,48778,160,0.144,36.65333333,75.22633745,0.087,1407913,0.244,0.122
ALLEGANY,36003,2015,48109,87,0.163,34.12444444,74.42798354,0.0757050345,1466756,0.256,0.1072901204
ALLEGANY,36003,2016,47736,211,0.135,39.61901639,72.79508197,0.0619002742,1439469,0.265,0.1099229874
ALLEGANY,36003,2017,47462,205,0.137137562,39.05037037,75.18518519,0.0576980825,1697623,0.256,0.0848583359
ALLEGANY,36003,2018,47077,364,0.1490841487,36.17259259,74.03703704,0.0624752279,1661773,0.258,0.0615511457
ALLEGANY,36003,2019,46894,492,0.1490841487,35.86666667,76.00823045,0.0670258838,1708216,0.25,0.0558585072
ALLEGANY,36003,2020,46430,14,0.1441629236,37.2657377,74.96721311,0.0563177637,1514422,0.228,0.0585377276
ALLEGANY,36003,2021,46091,202,0.1750506917,37.68296296,73.99588477,0.0545753819,1473140,0.268,0.0570917759
ALLEGANY,36003,2022,45587,692,0.184,37.95481481,73.66255144,0.0806807438,1430211,0.21,0.0554221993
BRONX,36005,2012,1397287,3954,0.254,47.52131148,71.16393443,0.128,37064343,0.422,0.167
BRONX,36005,2013,1392002,4242,0.243,43.72148148,71.86831276,0.123,38015572,0.409,0.17
BRONX,36005,2014,1408473,3489,0.242,41.12592593,70.1399177,0.1265713142,38445020,0.44,0.1648093047
BRONX,36005,2015,1418733,4982,0.242,41.35333333,70.06584362,0.1183916311,38609160,0.416,0.1582613262
