CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36000,New York,1431624004,1440346783,1496280128,1501818048,1535375930,1565835160,1590567799,1624800665,1665186762,1704364321,1667234838,1750551186,1781554113,1793384525,1840059266
36001,"Albany, NY",28260925,28452103,28723744,29431456,30329961,30964946,31617026,31742890,31793879,32919078,32615216,35064687,35391018,36178286,36723564
36003,"Allegany, NY",1378282,1402346,1400930,1407913,1493870,1466756,1439469,1697623,1661773,1708216,1514422,1473140,1430211,1440932,1526380
36005,"Bronx, NY",36419511,36492921,37064343,38015572,38445020,38609160,39590448,39476535,42861240,44823621,43053702,43531996,43713280,44387915,45350508
36007,"Broome, NY",9431511,9462077,9530681,9306605,9125273,9047065,8915673,9063798,9031322,9144907,8822496,9121031,9043815,9224750,9514748
36009,"Cattaraugus, NY",3075837,3113249,3029292,3078891,3106078,3074534,2998787,2888306,2826009,2893957,2688890,2791441,2821143,2921321,2990123
36011,"Cayuga, NY",2832555,2783202,2795632,2894548,2980273,2920122,2829277,2802820,2801933,2883105,2883655,2961969,3034390,3024288,3129766
36013,"Chautauqua, NY",5593234,5493158,5314271,5168399,5080173,4954943,4865782,4818623,4827335,4802381,4443060,4593507,4707912,4635834,4849681
36015,"Chemung, NY",3879817,3972684,3982880,4012432,4011674,3880865,3789358,3691136,3741851,3715758,3547412,3665392,3652283,3605454,3687874
36017,"Chenango, NY",1940603,2001659,1971074,2045628,2134380,2219193,2304280,2256103,2272465,2313663,2180689,2144033,2267131,2299310,2418774
36019,"Clinton, NY",3961986,3824393,3759448,3809799,3775778,3839374,3808158,3770005,3695035,3672522,3538404,3590733,3644343,3704945,3779778
36021,"Columbia, NY",2441806,2446374,2550232,2528554,2628678,2598781,2555718,2471607,2354818,2482005,2527388,2679308,2649217,2642234,2640476
36023,"Cortland, NY",1746196,1778015,1820218,1859594,1870376,1912061,1791922,1779443,1803173,1772504,1753037,1772552,1782287,1771137,1789191
36025,"Delaware, NY",1951233,1857336,1846611,1880718,1927187,1919040,1912715,1982111,1930101,2069113,2012410,2213129,2332083,2352166,2493037
36027,"Dutchess, NY",13673388,13916704,13837712,14000302,13728171,13826947,13771521,14140113,14048737,14296118,13769280,14742779,15137772,15309329,15975373
36029,"Erie, NY",52298001,51665538,53656459,53743185,55343375,56784096,57064333,56612266,57348021,58581787,57875122,60516986,61413166,62576884,63227371
36031,"Essex, NY",1611284,1643926,1659525,1698335,1650158,1606188,1628237,1584008,1600315,1621323,1596977,1702064,1680386,1701203,1787554
36033,"Franklin, NY",1959211,2002000,1979927,1972823,1907326,1866923,1905359,1906558,1882900,1920211,1857624,1934309,2013244,2050491,2118625
36035,"Fulton, NY",1824789,1784308,1789951,1812043,1736876,1743914,1895679,1885996,1829069,1888385,1843272,1834074,1856225,1852483,1879185
36037,"Genesee, NY",2355087,2352674,2304449,2346855,2387215,2434347,2403903,2374864,2458721,2456671,2356544,2403311,2493591,2573855,2654510
36039,"Greene, NY",2571383,2332258,2575920,2331433,2249781,2343880,2430499,2478772,2374522,2285352,2330755,2464553,2747974,2488960,2804271
