latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
40.5795,-74.1502,2010,7.332510288,69.75308642,243,45.19851852
40.5795,-74.1502,2011,6.319341564,69.90534979,243,43.37481481
40.5795,-74.1502,2012,8.948770492,69.56557377,244,48.10778689
40.5795,-74.1502,2013,6.863786008,70.17695473,243,44.35481481
40.5795,-74.1502,2014,5.402880658,68.93004115,243,41.72518519
40.5795,-74.1502,2015,5.633744856,68.218107,243,42.14074074
40.5795,-74.1502,2016,8.323770492,69.41803279,244,46.98278689
40.5795,-74.1502,2017,7.758847737,70.23868313,243,45.96592593
40.5795,-74.1502,2018,7.528806584,69.72016461,243,45.55185185
40.5795,-74.1502,2019,7.385185185,70.22222222,243,45.29333333
40.5795,-74.1502,2020,7.826229508,69.98360656,244,46.08721311
40.5795,-74.1502,2021,7.810699588,70.05349794,243,46.05925926
40.5795,-74.1502,2022,8.181893004,69.69958848,243,46.72740741
40.5795,-74.1502,2023,8.660082305,69.74485597,243,47.58814815
40.5795,-74.1502,2024,8.477459016,70.14754098,244,47.25942623
40.5795,-74.1502,2025,8.17037037,63.36213992,243,46.70666667
40.5795,-74.1502,2026,3.769677419,66.5483871,155,38.78541935
40.6782,-73.9442,2010,7.1,71.00411523,243,44.78
40.6782,-73.9442,2011,6.058436214,71.27160494,243,42.90518519
40.6782,-73.9442,2012,8.799590164,70.7704918,244,47.8392623
40.6782,-73.9442,2013,6.730452675,71.26748971,243,44.11481481
40.6782,-73.9442,2014,5.295061728,69.66666667,243,41.53111111
40.6782,-73.9442,2015,5.426337449,69.56790123,243,41.76740741
40.6782,-73.9442,2016,8.146721311,70.59836066,244,46.66409836
40.6782,-73.9442,2017,7.589711934,70.75308642,243,45.66148148
40.6782,-73.9442,2018,7.225102881,69.98353909,243,45.00518519
40.6782,-73.9442,2019,7.049382716,70.67078189,243,44.68888889
40.6782,-73.9442,2020,7.603278689,69.99590164,244,45.68590164
40.6782,-73.9442,2021,7.53909465,70.29218107,243,45.57037037
40.6782,-73.9442,2022,7.915226337,69.67901235,243,46.24740741
40.6782,-73.9442,2023,8.43909465,69.74897119,243,47.19037037
40.6782,-73.9442,2024,8.06147541,72.55327869,244,46.51065574
40.6782,-73.9442,2025,7.908641975,64.51440329,243,46.23555556
40.6782,-73.9442,2026,3.473548387,67.80645161,155,38.2523871
40.7282,-73.7949,2010,7.344032922,70.25102881,243,45.21925926
40.7282,-73.7949,2011,6.318930041,70.35390947,243,43.37407407
40.7282,-73.7949,2012,9.004098361,69.85245902,244,48.20737705
40.7282,-73.7949,2013,6.932921811,70.55144033,243,44.47925926
40.7282,-73.7949,2014,5.612345679,68.781893,243,42.10222222
40.7282,-73.7949,2015,5.679835391,68.8436214,243,42.2237037
40.7282,-73.7949,2016,8.348770492,69.92622951,244,47.02778689
40.7282,-73.7949,2017,7.58436214,69.95884774,243,45.65185185
40.7282,-73.7949,2018,7.017283951,70.07407407,243,44.63111111
40.7282,-73.7949,2019,6.811934156,70.15226337,243,44.26148148
40.7282,-73.7949,2020,7.387295082,70.01229508,244,45.29713115
40.7282,-73.7949,2021,7.374897119,69.8436214,243,45.27481481
40.7282,-73.7949,2022,7.70781893,69.6090535,243,45.87407407
40.7282,-73.7949,2023,8.267078189,69.61728395,243,46.88074074
40.7282,-73.7949,2024,7.970081967,72.07786885,244,46.34614754
40.7282,-73.7949,2025,7.556790123,66.27572016,243,45.60222222
40.7282,-73.7949,2026,3.171612903,69.44516129,155,37.70890323
40.7506561,-73.582905,2010,7.262139918,72.0617284,243,45.07185185
