County,latitude,longitude
DELAWARE,42.1939865,-74.966728
ALLEGANY,42.2478938,-78.0261758
WARREN,43.5551053,-73.8381388
CAYUGA,43.0085456,-76.5745866
SENECA,42.7652,-76.8721
MADISON,42.9100255,-75.6635749
SCHUYLER,42.419776,-76.9386038
GREENE,42.2869511,-74.1494949
ONTARIO,42.8566949,-77.3032768
ESSEX,44.1089711,-73.7775726
NASSAU,40.7506561,-73.582905
WARREN,43.5551053,-73.8381388
WASHINGTON,43.3123766,-73.4394282
BROOME,42.1619773,-75.830291
ORLEANS,43.209007,-78.254897
CHEMUNG,42.1552807,-76.7471788
LEWIS,43.7863965,-75.4426165
WYOMING,42.7013627,-78.2285667
NEW YORK,40.7831,-73.9712
TIOGA,42.1256,-76.3637
MONTGOMERY,42.9008912,-74.4353575
BRONX,40.8448,-73.8648
ROCKLAND,41.1547851,-74.0247721
CLINTON,44.7527103,-73.7056478
SCHOHARIE,42.591294,-74.4381718
ROCKLAND,41.1547851,-74.0247721
ORANGE,41.4024096,-74.3062522
SENECA,42.7652,-76.8721
NASSAU,40.7506561,-73.582905
ALBANY,42.5882713,-73.9740136
ALBANY,42.5882713,-73.9740136
MONROE,43.174966,-77.639663
STEUBEN,42.2667252,-77.3855253
OSWEGO,43.4614428,-76.209258
CHAUTAUQUA,42.3042159,-79.4075949
JEFFERSON,44.0607,-75.9928
ALLEGANY,42.2478938,-78.0261758
ST LAWRENCE,44.4881125,-75.074311
HAMILTON,43.6578786,-74.5024556
KINGS,40.6782,-73.9442
HAMILTON,43.6578786,-74.5024556
RENSSELAER,42.7104206,-73.5138454
ULSTER,41.9472321,-74.265447
ERIE,42.752759,-78.7781922
NASSAU,40.7506561,-73.582905
SARATOGA,43.1061353,-73.8553872
RICHMOND,40.5795,-74.1502
RICHMOND,40.5795,-74.1502
ST LAWRENCE,44.4881125,-75.074311
SULLIVAN,41.7201763,-74.7646796
CHENANGO,42.489732,-75.6049051
CHENANGO,42.489732,-75.6049051
PUTNAM,41.4351,-73.7949
COLUMBIA,42.2477286,-73.6268046
MADISON,42.9100255,-75.6635749
ST LAWRENCE,44.4881125,-75.074311
LEWIS,43.7863965,-75.4426165
DELAWARE,42.1939865,-74.966728
FULTON,43.1156093,-74.4236782
DUTCHESS,41.7550085,-73.7399512
TIOGA,42.1256,-76.3637
OTSEGO,42.6297762,-75.028841
ROCKLAND,41.1547851,-74.0247721
NEW YORK,40.7831,-73.9712
FRANKLIN,44.5943743,-74.3106698
QUEENS,40.7282,-73.7949
FULTON,43.1156093,-74.4236782
WARREN,43.5551053,-73.8381388
RENSSELAER,42.7104206,-73.5138454
CLINTON,44.7527103,-73.7056478
SCHOHARIE,42.591294,-74.4381718
TOMPKINS,42.4532811,-76.4737116
DUTCHESS,41.7550085,-73.7399512
YATES,42.6431,-77.1485
SULLIVAN,41.7201763,-74.7646796
YATES,42.6431,-77.1485
YATES,42.6431,-77.1485
COLUMBIA,42.2477286,-73.6268046
CAYUGA,43.0085456,-76.5745866
SCHENECTADY,42.8175421,-74.0435834
OSWEGO,43.4614428,-76.209258
OTSEGO,42.6297762,-75.028841
HERKIMER,43.1631,-74.8741
TIOGA,42.1256,-76.3637
CHEMUNG,42.1552807,-76.7471788
ERIE,42.752759,-78.7781922
ONONDAGA,43.0065299,-76.1961167
KINGS,40.6782,-73.9442
ONONDAGA,43.0065299,-76.1961167
RENSSELAER,42.7104206,-73.5138454
SCHUYLER,42.419776,-76.9386038
ORLEANS,43.209007,-78.254897
JEFFERSON,44.0607,-75.9928
QUEENS,40.7282,-73.7949
SCHENECTADY,42.8175421,-74.0435834
CHAUTAUQUA,42.3042159,-79.4075949
SUFFOLK,40.943554,-72.6922184
MADISON,42.9100255,-75.6635749
HAMILTON,43.6578786,-74.5024556
SULLIVAN,41.7201763,-74.7646796
TOMPKINS,42.4532811,-76.4737116
WASHINGTON,43.3123766,-73.4394282
WESTCHESTER,41.1527698,-73.745912
SARATOGA,43.1061353,-73.8553872
LIVINGSTON,42.7274845,-77.7697795
WAYNE,43.202,-77.0104
ONEIDA,43.2427273,-75.4342824
NIAGARA,43.203001,-78.71083
ERIE,42.752759,-78.7781922
SENECA,42.7652,-76.8721
GREENE,42.2869511,-74.1494949
SUFFOLK,40.943554,-72.6922184
RICHMOND,40.5795,-74.1502
WAYNE,43.202,-77.0104
COLUMBIA,42.2477286,-73.6268046
ULSTER,41.9472321,-74.265447
ONTARIO,42.8566949,-77.3032768
ONTARIO,42.8566949,-77.3032768
PUTNAM,41.4351,-73.7949
BROOME,42.1619773,-75.830291
CORTLAND,42.5938237,-76.0762647
CHAUTAUQUA,42.3042159,-79.4075949
CATTARAUGUS,42.2448527,-78.6810055
CORTLAND,42.5938237,-76.0762647
WASHINGTON,43.3123766,-73.4394282
DUTCHESS,41.7550085,-73.7399512
ESSEX,44.1089711,-73.7775726
WESTCHESTER,41.1527698,-73.745912
SCHUYLER,42.419776,-76.9386038
NIAGARA,43.203001,-78.71083
WYOMING,42.7013627,-78.2285667
CATTARAUGUS,42.2448527,-78.6810055
ALBANY,42.5882713,-73.9740136
ESSEX,44.1089711,-73.7775726
MONROE,43.174966,-77.639663
NIAGARA,43.203001,-78.71083
WAYNE,43.202,-77.0104
CHEMUNG,42.1552807,-76.7471788
SCHENECTADY,42.8175421,-74.0435834
ORANGE,41.4024096,-74.3062522
GENESEE,43.0009096,-78.1927784
WYOMING,42.7013627,-78.2285667
CORTLAND,42.5938237,-76.0762647
FULTON,43.1156093,-74.4236782
BRONX,40.8448,-73.8648
HERKIMER,43.1631,-74.8741
CAYUGA,43.0085456,-76.5745866
ORLEANS,43.209007,-78.254897
ULSTER,41.9472321,-74.265447
MONTGOMERY,42.9008912,-74.4353575
ONEIDA,43.2427273,-75.4342824
SCHOHARIE,42.591294,-74.4381718
OTSEGO,42.6297762,-75.028841
CHENANGO,42.489732,-75.6049051
JEFFERSON,44.0607,-75.9928
SUFFOLK,40.943554,-72.6922184
ORANGE,41.4024096,-74.3062522
FRANKLIN,44.5943743,-74.3106698
KINGS,40.6782,-73.9442
DELAWARE,42.1939865,-74.966728
BRONX,40.8448,-73.8648
HERKIMER,43.1631,-74.8741
PUTNAM,41.4351,-73.7949
MONTGOMERY,42.9008912,-74.4353575
CATTARAUGUS,42.2448527,-78.6810055
LIVINGSTON,42.7274845,-77.7697795
OSWEGO,43.4614428,-76.209258
TOMPKINS,42.4532811,-76.4737116
LIVINGSTON,42.7274845,-77.7697795
FRANKLIN,44.5943743,-74.3106698
GENESEE,43.0009096,-78.1927784
GREENE,42.2869511,-74.1494949
ONONDAGA,43.0065299,-76.1961167
LEWIS,43.7863965,-75.4426165
BROOME,42.1619773,-75.830291
QUEENS,40.7282,-73.7949
STEUBEN,42.2667252,-77.3855253
WESTCHESTER,41.1527698,-73.745912
SARATOGA,43.1061353,-73.8553872
ALLEGANY,42.2478938,-78.0261758
ONEIDA,43.2427273,-75.4342824
MONROE,43.174966,-77.639663
STEUBEN,42.2667252,-77.3855253
GENESEE,43.0009096,-78.1927784
CLINTON,44.7527103,-73.7056478
NEW YORK,40.7831,-73.9712
NIAGARA,43.203001,-78.71083
SENECA,42.7652,-76.8721
RENSSELAER,42.7104206,-73.5138454
SCHOHARIE,42.591294,-74.4381718
WASHINGTON,43.3123766,-73.4394282
SCHENECTADY,42.8175421,-74.0435834
STEUBEN,42.2667252,-77.3855253
WAYNE,43.202,-77.0104
RENSSELAER,42.7104206,-73.5138454
DUTCHESS,41.7550085,-73.7399512
SUFFOLK,40.943554,-72.6922184
PUTNAM,41.4351,-73.7949
ESSEX,44.1089711,-73.7775726
GREENE,42.2869511,-74.1494949
ORANGE,41.4024096,-74.3062522
YATES,42.6431,-77.1485
GREENE,42.2869511,-74.1494949
SCHUYLER,42.419776,-76.9386038
FULTON,43.1156093,-74.4236782
SCHUYLER,42.419776,-76.9386038
ONONDAGA,43.0065299,-76.1961167
ROCKLAND,41.1547851,-74.0247721
KINGS,40.6782,-73.9442
ONTARIO,42.8566949,-77.3032768
BROOME,42.1619773,-75.830291
OTSEGO,42.6297762,-75.028841
ESSEX,44.1089711,-73.7775726
MONTGOMERY,42.9008912,-74.4353575
FRANKLIN,44.5943743,-74.3106698
YATES,42.6431,-77.1485
NIAGARA,43.203001,-78.71083
HAMILTON,43.6578786,-74.5024556
ULSTER,41.9472321,-74.265447
ALLEGANY,42.2478938,-78.0261758
HERKIMER,43.1631,-74.8741
ONONDAGA,43.0065299,-76.1961167
WAYNE,43.202,-77.0104
NEW YORK,40.7831,-73.9712
ERIE,42.752759,-78.7781922
CLINTON,44.7527103,-73.7056478
COLUMBIA,42.2477286,-73.6268046
TOMPKINS,42.4532811,-76.4737116
ALBANY,42.5882713,-73.9740136
CORTLAND,42.5938237,-76.0762647
OTSEGO,42.6297762,-75.028841
MONROE,43.174966,-77.639663
HAMILTON,43.6578786,-74.5024556
LIVINGSTON,42.7274845,-77.7697795
FRANKLIN,44.5943743,-74.3106698
SENECA,42.7652,-76.8721
COLUMBIA,42.2477286,-73.6268046
COLUMBIA,42.2477286,-73.6268046
ERIE,42.752759,-78.7781922
SULLIVAN,41.7201763,-74.7646796
CHAUTAUQUA,42.3042159,-79.4075949
JEFFERSON,44.0607,-75.9928
DUTCHESS,41.7550085,-73.7399512
ROCKLAND,41.1547851,-74.0247721
ONTARIO,42.8566949,-77.3032768
BROOME,42.1619773,-75.830291
WYOMING,42.7013627,-78.2285667
CAYUGA,43.0085456,-76.5745866
BRONX,40.8448,-73.8648
ONEIDA,43.2427273,-75.4342824
ORANGE,41.4024096,-74.3062522
WASHINGTON,43.3123766,-73.4394282
MONTGOMERY,42.9008912,-74.4353575
DELAWARE,42.1939865,-74.966728
ONEIDA,43.2427273,-75.4342824
SENECA,42.7652,-76.8721
FULTON,43.1156093,-74.4236782
OSWEGO,43.4614428,-76.209258
TOMPKINS,42.4532811,-76.4737116
CLINTON,44.7527103,-73.7056478
NASSAU,40.7506561,-73.582905
MONTGOMERY,42.9008912,-74.4353575
SCHENECTADY,42.8175421,-74.0435834
SARATOGA,43.1061353,-73.8553872
ST LAWRENCE,44.4881125,-75.074311
ONONDAGA,43.0065299,-76.1961167
GENESEE,43.0009096,-78.1927784
CHEMUNG,42.1552807,-76.7471788
NIAGARA,43.203001,-78.71083
ORLEANS,43.209007,-78.254897
SUFFOLK,40.943554,-72.6922184
ALBANY,42.5882713,-73.9740136
QUEENS,40.7282,-73.7949
GREENE,42.2869511,-74.1494949
CHEMUNG,42.1552807,-76.7471788
NASSAU,40.7506561,-73.582905
CATTARAUGUS,42.2448527,-78.6810055
WARREN,43.5551053,-73.8381388
FRANKLIN,44.5943743,-74.3106698
HERKIMER,43.1631,-74.8741
NASSAU,40.7506561,-73.582905
MONROE,43.174966,-77.639663
SARATOGA,43.1061353,-73.8553872
DELAWARE,42.1939865,-74.966728
ALBANY,42.5882713,-73.9740136
SCHENECTADY,42.8175421,-74.0435834
JEFFERSON,44.0607,-75.9928
WESTCHESTER,41.1527698,-73.745912
ORLEANS,43.209007,-78.254897
RICHMOND,40.5795,-74.1502
WAYNE,43.202,-77.0104
WESTCHESTER,41.1527698,-73.745912
SUFFOLK,40.943554,-72.6922184
WARREN,43.5551053,-73.8381388
WARREN,43.5551053,-73.8381388
CHAUTAUQUA,42.3042159,-79.4075949
HERKIMER,43.1631,-74.8741
SCHOHARIE,42.591294,-74.4381718
LEWIS,43.7863965,-75.4426165
GENESEE,43.0009096,-78.1927784
BRONX,40.8448,-73.8648
PUTNAM,41.4351,-73.7949
CAYUGA,43.0085456,-76.5745866
LIVINGSTON,42.7274845,-77.7697795
QUEENS,40.7282,-73.7949
STEUBEN,42.2667252,-77.3855253
CHENANGO,42.489732,-75.6049051
CHENANGO,42.489732,-75.6049051
ULSTER,41.9472321,-74.265447
ULSTER,41.9472321,-74.265447
ST LAWRENCE,44.4881125,-75.074311
JEFFERSON,44.0607,-75.9928
SCHOHARIE,42.591294,-74.4381718
MADISON,42.9100255,-75.6635749
CORTLAND,42.5938237,-76.0762647
SULLIVAN,41.7201763,-74.7646796
OTSEGO,42.6297762,-75.028841
SARATOGA,43.1061353,-73.8553872
KINGS,40.6782,-73.9442
ORANGE,41.4024096,-74.3062522
STEUBEN,42.2667252,-77.3855253
ORLEANS,43.209007,-78.254897
ONTARIO,42.8566949,-77.3032768
NEW YORK,40.7831,-73.9712
ALLEGANY,42.2478938,-78.0261758
BROOME,42.1619773,-75.830291
YATES,42.6431,-77.1485
LEWIS,43.7863965,-75.4426165
OSWEGO,43.4614428,-76.209258
GENESEE,43.0009096,-78.1927784
CHAUTAUQUA,42.3042159,-79.4075949
ESSEX,44.1089711,-73.7775726
ERIE,42.752759,-78.7781922
CATTARAUGUS,42.2448527,-78.6810055
RICHMOND,40.5795,-74.1502
MADISON,42.9100255,-75.6635749
ROCKLAND,41.1547851,-74.0247721
TIOGA,42.1256,-76.3637
ONEIDA,43.2427273,-75.4342824
MADISON,42.9100255,-75.6635749
MONROE,43.174966,-77.639663
DELAWARE,42.1939865,-74.966728
TIOGA,42.1256,-76.3637
OSWEGO,43.4614428,-76.209258
TIOGA,42.1256,-76.3637
HAMILTON,43.6578786,-74.5024556
RENSSELAER,42.7104206,-73.5138454
WASHINGTON,43.3123766,-73.4394282
PUTNAM,41.4351,-73.7949
CHEMUNG,42.1552807,-76.7471788
CORTLAND,42.5938237,-76.0762647
CLINTON,44.7527103,-73.7056478
CAYUGA,43.0085456,-76.5745866
RICHMOND,40.5795,-74.1502
SULLIVAN,41.7201763,-74.7646796
WYOMING,42.7013627,-78.2285667
KINGS,40.6782,-73.9442
LEWIS,43.7863965,-75.4426165
FULTON,43.1156093,-74.4236782
ALLEGANY,42.2478938,-78.0261758
LIVINGSTON,42.7274845,-77.7697795
WESTCHESTER,41.1527698,-73.745912
SCHUYLER,42.419776,-76.9386038
TOMPKINS,42.4532811,-76.4737116
DUTCHESS,41.7550085,-73.7399512
CHENANGO,42.489732,-75.6049051
ST LAWRENCE,44.4881125,-75.074311
BRONX,40.8448,-73.8648
CATTARAUGUS,42.2448527,-78.6810055
WYOMING,42.7013627,-78.2285667
NEW YORK,40.7831,-73.9712
QUEENS,40.7282,-73.7949
ONONDAGA,43.0065299,-76.1961167
CHENANGO,42.489732,-75.6049051
WARREN,43.5551053,-73.8381388
WASHINGTON,43.3123766,-73.4394282
JEFFERSON,44.0607,-75.9928
ORLEANS,43.209007,-78.254897
RICHMOND,40.5795,-74.1502
SENECA,42.7652,-76.8721
ONEIDA,43.2427273,-75.4342824
YATES,42.6431,-77.1485
WYOMING,42.7013627,-78.2285667
ONTARIO,42.8566949,-77.3032768
CAYUGA,43.0085456,-76.5745866
CATTARAUGUS,42.2448527,-78.6810055
CHAUTAUQUA,42.3042159,-79.4075949
WARREN,43.5551053,-73.8381388
RICHMOND,40.5795,-74.1502
DELAWARE,42.1939865,-74.966728
YATES,42.6431,-77.1485
CAYUGA,43.0085456,-76.5745866
ALBANY,42.5882713,-73.9740136
BRONX,40.8448,-73.8648
SCHUYLER,42.419776,-76.9386038
JEFFERSON,44.0607,-75.9928
NEW YORK,40.7831,-73.9712
TIOGA,42.1256,-76.3637
ALBANY,42.5882713,-73.9740136
HERKIMER,43.1631,-74.8741
ONONDAGA,43.0065299,-76.1961167
